Row 1: Num | ID | Work Item Type | Title | Test Step | Step Action | Step Expected | Area Path
Row 179:  |  |  |  | 7 | In the same window that was used at step 6. above, locate the "Advanced Diagnostic Report" situated at the bottom of the page, and click on the "Create report" button.  <NL>  |  <NL>  | 
Row 180:  |  |  |  | 8 | Click the "Export" button in the popup window - this will cause the log files to be exported to the file "c:\users\Public\Documents\MDMDiagnostics\MDMDiagReport.html" <NL>  |  <NL>  | 
Row 181:  |  |  |  | 9 | Double click on the file name, by default it will open with Edge. <NL>  | Scroll down - You should see a section with  the title "Managed policies". You can find ”Devices_AllowUndockWithoutHavingToLogon“. <NL> Devices_AllowUndockWithoutHavingToLogon Should be 0. <NL>  | 
Row 182:  |  |  |  | 10 | Reopen the profile and changed the settings to "Not Configured" and "Save" the change and "Sync" the Device  <NL>  | Scroll down - You should see a section with  the title "Managed policies". You can't find ”Devices_AllowUndockWithoutHavingToLogon“.  | 
Row 183: 8 | 8925723 | Test Case | [Shanghai Vendor][DC][Endpoint Protection][LocalDeviceSecurityOptions][Devices]: Install printer drivers for shared printers |  |  |  | Intune\Mgmt\Device Configuration\DCv1
Row 184:  |  |  |  | 1 | Navigate to Create Profile blade on Intune Device Configuration |  | 
Row 185:  |  |  |  | 1.1 | Login to  MEM admin center with your admin account: <NL> DF: https://aka.ms/intunedf <NL> SH: https://aka.ms/IntuneSH <NL> Canary: https://aka.ms/IntuneCanary <NL> PE: https://aka.ms/intune <NL> Fairfax: https://aka.ms/intuneFF <NL> Mooncake: https://aka.ms/intuneMC |  <NL>  | 
Row 186:  |  |  |  | 1.2 | Click the "Device" in the left list column <NL>  |  <NL>  | 
Row 187:  |  |  |  | 1.3 | Click the "configuration profile" feature in "Device" <NL>  |  <NL>  | 
Row 188:  |  |  |  | 1.4 | Click "Create profile", and select Platform : "Windows 10 and later" <NL>  |  <NL>  | 
Row 189:  |  |  |  | 2 | selected the "Endpoint Protection" in Profile and click the "Create" button <NL>  |  <NL>  | 
Row 190:  |  |  |  | 3 | Enter "test1" for "Name" and click the "Next" button <NL>  |  <NL>  | 
Row 191:  |  |  |  | 4 | selected "Local Device Security Options" -  "Devices"  <NL> Set "Install printer drivers for shared printers" settings to "Enable" and "Next" <NL>  |  <NL>  | 
Row 192:  |  |  |  | 5 | Assign the profile to User/Device group and complete the creation of the DC profile |  | 
Row 193:  |  |  |  | 5.1 | Click the "Selected groups to include" in "Included groups" <NL>  |  <NL>  | 
Row 194:  |  |  |  | 5.2 | search your group and select group, and click "Select" button <NL>  |  <NL>  | 
Row 195:  |  |  |  | 5.3 | Click "Next"--"Next"--"Next"--"Create" <NL>  |  <NL>  | 
Row 196:  |  |  |  | 5.4 | the profile will be created successful <NL>  |  <NL>  | 
Row 197:  |  |  |  | 6 | Enroll a windows 10 device to intune and Trigger a manual sync of MDM policies in Windows 10 Device |  | 
Row 198:  |  |  |  | 6.1 | Open the "Settings" App |  <NL>  | 
Row 199:  |  |  |  | 6.2 | Click "Accounts" |  <NL>  | 
Row 200:  |  |  |  | 6.3 | Click "Access work or School" |  <NL>  | 
